wine_name,vivino_rating,vivino_num_ratings,vivino_price,vivino_url
2019 Archenant Aurelien Verdet - Nuits Saint Georges - Red - 750 ml - Standard Bottle,4.3,106 ratings,$154,https://www.vivino.com/SG/en/aurelien-verdet-nuits-saint-georges/w/1948698?year=2019&price_id=34932727
2016 Fire Gully - Cabernet Sauvignon Merlot - Red - 750 ml - Standard Bottle,3.7,based on all vintages,N/A,https://www.vivino.com/SG/en/fire-gully-cabernet-sauvignon-merlot/w/1387572?year=2016
2015 Morlet - Cabernet Sauvignon Morlet Estate - Red - 750 ml - Standard Bottle,4.7,40 ratings,N/A,https://www.vivino.com/SG/en/morlet-family-vineyards-cabernet-sauvignon-morlet-estate/w/4139668?year=2015
2016 Morlet - Cabernet Sauvignon Mon Chevalier - Red - 750 ml - Standard Bottle,4.7,40 ratings,N/A,https://www.vivino.com/SG/en/morlet-family-vineyards-cabernet-sauvignon-mon-chevalier/w/94695?year=2016
2020 Gianfranco Fino - SE Salento Primitivo IGT - Red - 750 ml - Standard Bottle,4.2,75 ratings,$87,https://www.vivino.com/SG/en/gianfranco-fino-se-primitivo-di-manduria/w/1205577?year=2020&price_id=36153514
NV Charles Heidsieck - Brut Reserve,4.2,33211 ratings,$93,https://www.vivino.com/SG/en/charles-heidsieck-brut-reserve-champagne/w/86290?price_id=37833622
2016 Bond - St Eden Oakville,4.8,76 ratings,N/A,https://www.vivino.com/SG/en/bond-st-eden/w/1134333?year=2016&price_id=37477215
2022 Famille Perrin - Cotes du Rhone Reserve,3.8,683 ratings,$45,https://www.vivino.com/SG/en/famille-perrin-cotes-du-rhone-reserve-rouge/w/1124242?year=2022&price_id=39109829
NV Valdespino - Innocente Fino Sherry - White - 375 ml - Half Bottle,3.6,3037 ratings,N/A,https://www.vivino.com/SG/en/valdespino-single-vineyard-inocente-fino-dry/w/1173658
2021 Masciarelli - Linea Classica Trebbiano d'Abruzzo - White - 750 ml - Standard Bottle,3.7,231 ratings,$66,https://www.vivino.com/SG/en/masciarelli-abruzzo-trebbiano-d-abruzzo/w/93059?year=2021&price_id=38959889
2018 Cantina Gallura - Gemellae Vermentino - White - 750 ml - Standard Bottle,3.8,939 ratings,N/A,https://www.vivino.com/SG/en/it-cantina-del-vermentino-funtanaliras-oro-vermentino-di-gallura/w/1292093?year=2018
2020 Barone Pizzini Pievalta - 'Tre Ripe' Verdicchio dei Castelli di Jesi Classico Superiore - White - 750 ml - Standard Bottle,3.6,388 ratings,$68,https://www.vivino.com/SG/en/pievalta-tre-ripe-verdicchio-dei-castelli-di-jesi-classico-superiore/w/8510826?year=2020&price_id=29609146
