match_name,retailer_name,retailer_url,price_sgd,currency_confirmed,notes
2022 Perrin et Fils - Gigondas Clos des Tourelles - Red - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/fmly+perrin+dom+du+clos+de+tourelles+gigonda+rhone+france,84.78,true,resolved_via=brave_wine_searcher usd=66.0 validation=passed
2015 La Rogerie - Heroine Blanc de Blancs Grand Cru Extra Brut Millesime - White - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/la+rougerie+heroine+blancdeblanc+grand+cru+extra+brut+millesime+champagne+france,129.74,true,resolved_via=brave_wine_searcher usd=101.0 validation=passed
2021 Roagna - Solea - White - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/roagna+solear+langhe+piemonte+italy,134.88,true,resolved_via=brave_wine_searcher usd=105.0 validation=passed
2020 Markus Molitor - Brauneberger Klostergarten Pinot Noir Trocken Three Star - Red - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/markus+molitor+kloster+garden+pinot+noir+trocken+brauneberger+mosel+germany,123.32,true,resolved_via=brave_wine_searcher usd=96.0 validation=passed
NV Dhondt-Grellet - Extra Brut Blanc de Blancs Premier Cru Les Terres Fines (Base 2022) - White - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/dhondt+grillet+les+terre+fines+blancdeblanc+premier+cru+extra+brut+champagne+france,142.59,true,resolved_via=brave_wine_searcher usd=111.0 validation=passed
2022 Roagna - Derthona Montemarzino - White - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/roagna+montemarino+derthona+piemonte+italy,155.44,true,resolved_via=brave_wine_searcher usd=121.0 validation=passed
2022 Frescobaldi - Giramonte - Red - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/marchesi+frescobaldi+tenute+di+castiglione+giramonte+tuscany+igp+italy,154.15,true,resolved_via=brave_wine_searcher usd=120.0 validation=passed
2022 Roagna - Solea - White - 1.5 L - Magnum,Wine-Searcher avg,https://www.wine-searcher.com/find/roagna+solear+langhe+piemonte+italy,124.58,true,resolved_via=brave_wine_searcher usd=96.98 validation=passed
2014 Rhys - Chardonnay Bearwallow Vineyard - White - 1.5 L - Magnum,Wine-Searcher avg,https://www.wine-searcher.com/find/rhys+bear+wallow+chard+anderson+valley+mendocino+county+north+coast+california+usa,140.02,true,resolved_via=brave_wine_searcher usd=109.0 validation=passed
2022 Domaine Claude Dugat - La Gibryotte Charmes Chambertin Grand Cru - Red - 750 ml - Standard Bottle (Bundle of 3),Wine-Searcher avg,https://www.wine-searcher.com/find/claude+dugat+la+gibryotte+grand+cru+charmes+chambertin+gevrey+cote+de+nuit+burgundy+france,360.97,true,resolved_via=brave_wine_searcher usd=281.0 validation=passed
