name_plat,year_plat,quantity_plat,volume_plat,quantity_main,price_plat,price_main,price_diff,price_diff_pct,cheaper_side,url_plat,url_main,platinum_vivino_rating,platinum_vivino_num_ratings,platinum_vivino_url
2020 Markus Molitor - Brauneberger Mandelgraben Pinot Noir Trocken One Star - Red - 750 ml - Standard Bottle,2020,1,750ml,1,75.00,75.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2020-markus-molitor-brauneberger-mandelgraben-pinot-noir-trocken-one-star-red-750-ml-standard-bottle,https://grandcruwines.com/products/2020-markus-molitor-brauneberger-mandelgraben-pinot-noir-trocken-one-star,,,
2021 G D Vajra - Barolo Albe - Red - 750 ml - Standard Bottle,2021,1,750ml,1,95.00,95.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2021-g-d-vajra-barolo-albe-red-750-ml-standard-bottle,https://grandcruwines.com/products/2021-g-d-vajra-barolo-albe,,,
NV Domaine Mumm - Brut Cordon Rouge - White - 750 ml - Standard Bottle,,1,750ml,1,99.00,99.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/nv-domaine-mumm-brut-cordon-rouge-white-750-ml-standard-bottle,https://grandcruwines.com/products/nv-domaine-mumm-brut-cordon-rouge,,,
NV Adrien Renoir - Grand Cru Le Terroir - White - 750 ml - Standard Bottle,,1,750ml,1,105.00,105.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/nv-adrien-renoir-grand-cru-le-terroir-white-750-ml-standard-bottle,https://grandcruwines.com/products/nv-adrien-renoir-grand-cru-le-terroir,,,
2018 Louise Brison - Rosé de la Côte des Bar - Rose - 750 ml - Standard Bottle,2018,1,750ml,1,110.00,110.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2018-louise-brison-rose-de-la-cote-des-bar-rose-750-ml-standard-bottle,https://grandcruwines.com/products/2018-louise-brison-ros-de-la-c-te-des-bar,,,
2017 Louise Brison - Rosé de la Côte des Bar - Rose - 750 ml - Standard Bottle,2017,1,750ml,1,110.00,110.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2017-louise-brison-rose-de-la-cote-des-bar-rose-750-ml-standard-bottle,https://grandcruwines.com/products/2017-louise-brison-ros-de-la-c-te-des-bar,,,
2020 Frescobaldi - Tenuta Perano Rialzi - Red - 750 ml - Standard Bottle,2020,1,750ml,1,115.00,115.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2020-frescobaldi-tenuta-perano-rialzi-red-750-ml-standard-bottle,https://grandcruwines.com/products/2020-frescobaldi-tenuta-perano-rialzi,,,
2022 Perrin et Fils - Gigondas Clos des Tourelles - Red - 750 ml - Standard Bottle,2022,1,750ml,1,135.00,135.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2022-perrin-et-fils-gigondas-clos-des-tourelles-red-750-ml-standard-bottle,https://grandcruwines.com/products/2022-perrin-et-fils-gigondas-clos-des-tourelles,,,
2022 Jerome Blin - Les Ports Complantation Zero Dosage - White - 750 ml - Standard Bottle,2022,1,750ml,1,135.00,135.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2022-jerome-blin-les-ports-complantation-zero-dosage-white-750-ml-standard-bottle,https://grandcruwines.com/products/2022-jerome-blin-les-ports-complantation-zero-dosage,,,
2015 La Rogerie - Heroine Blanc de Blancs Grand Cru Extra Brut Millesime - White - 750 ml - Standard Bottle,2015,1,750ml,1,150.00,150.00,0.0,0.0,Same Price,https://platwineclub.wineportal.com/wines/2015-la-rogerie-heroine-blanc-de-blancs-grand-cru-extra-brut-millesime-white-750-ml-standard-bottle,https://grandcruwines.com/products/2015-la-rogerie-heroine-blanc-de-blancs-grand-cru-extra-brut-millesime,,,
